accuracy,balanced_accuracy,cohen_kappa,concordance_correlation,macro_f1,macro_roc_auc_ovr,mae_native,outer_fold,pearson_r,protocol,r2_native,rmse_native,sample_count,subject_count,task,weighted_f1
0.35555555555555557,0.35555555555555557,0.033333333333333326,,0.34839927363198314,0.5624691358024692,,3,,strict_cross_subject,,,135,5,nback,0.34839927363198303
0.4148148148148148,0.4148148148148148,0.12222222222222223,,0.41080676179550357,0.5447736625514403,,4,,strict_cross_subject,,,135,5,nback,0.4108067617955035
,,,0.15075383735493197,,,42.62631380694475,0,0.2702446801322254,strict_cross_subject,0.03226405026805612,53.36956313297727,595,7,refed_regression,
,,,0.08205745572763032,,,43.95554866444626,1,0.17145765792735615,strict_cross_subject,0.021330010404691624,56.534551372368675,595,7,refed_regression,
,,,0.09829654807054866,,,47.604226390080655,2,0.2197884628966892,strict_cross_subject,0.04781255810247653,57.262964653092006,510,6,refed_regression,
,,,0.04378580720667945,,,49.46115068648977,3,0.14188744911633308,strict_cross_subject,0.011537239823146916,59.81850487530148,510,6,refed_regression,
,,,0.02872362504637824,,,42.915856614666836,4,0.10401332985881896,strict_cross_subject,0.0001327812455614863,56.37275902768682,510,6,refed_regression,
0.3207331042382589,0.24815071126602228,-0.005972420185555993,,0.23760500966142628,0.502904089056565,,0,,strict_cross_subject,,,1746,4,visual,0.3012013266750711
0.3192771084337349,0.26496637714824356,0.010954117428034538,,0.24853784422711708,0.4994308948614463,,1,,strict_cross_subject,,,1494,3,visual,0.2994843925060087
0.35475234270414996,0.2619969654528478,0.029475267460760235,,0.2552743544600939,0.5280767144729941,,2,,strict_cross_subject,,,1494,3,visual,0.3351649050932099
0.32301480484522205,0.26089002529755057,0.02096753490004788,,0.25253128380195844,0.5266460315889552,,3,,strict_cross_subject,,,1486,3,visual,0.3048210493649176
0.338,0.2702352110949619,0.025674570727718615,,0.2567203466884794,0.5322527938064221,,4,,strict_cross_subject,,,1500,3,visual,0.33755541631112795
0.6,0.6,0.19999999999999996,,0.5999876539399365,0.6275848765432099,,0,,strict_cross_subject,,,360,6,wg,0.5999876539399364
0.64,0.64,0.28,,0.6399359886201992,0.6849777777777779,,1,,strict_cross_subject,,,300,5,wg,0.6399359886201992
0.6666666666666666,0.6666666666666667,0.33333333333333337,,0.6664294609500089,0.6982666666666666,,2,,strict_cross_subject,,,300,5,wg,0.6664294609500089
0.5966666666666667,0.5966666666666667,0.19333333333333336,,0.591101098282174,0.6375000000000001,,3,,strict_cross_subject,,,300,5,wg,0.591101098282174
0.61,0.6100000000000001,0.21999999999999997,,0.6080795899909557,0.6344666666666666,,4,,strict_cross_subject,,,300,5,wg,0.6080795899909557
